#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Odwell Rosellini Roß , Graf Röstell Roth Rougemont , Graf Rumohr Ruspoli , Prinz Santangelo Savigny Schelling Schenk & Gerstäcker Schilden , von Schilder Schina Schlegel Schleiermacher 13 - 5.10.34 2.4.34 30.12.34 23.12.34 22.9.32 23.12.34 16.60.33 Febr .
1-1	0-6	Odwell	_	_
1-2	7-16	Rosellini	_	_
1-3	17-20	Roß	_	_
1-4	21-22	,	_	_
1-5	23-27	Graf	_	_
1-6	28-35	Röstell	_	_
1-7	36-40	Roth	_	_
1-8	41-50	Rougemont	_	_
1-9	51-52	,	_	_
1-10	53-57	Graf	_	_
1-11	58-64	Rumohr	_	_
1-12	65-72	Ruspoli	_	_
1-13	73-74	,	_	_
1-14	75-80	Prinz	_	_
1-15	81-91	Santangelo	_	_
1-16	92-99	Savigny	_	_
1-17	100-109	Schelling	_	_
1-18	110-116	Schenk	_	_
1-19	117-118	&	_	_
1-20	119-129	Gerstäcker	_	_
1-21	130-138	Schilden	_	_
1-22	139-140	,	_	_
1-23	141-144	von	_	_
1-24	145-153	Schilder	_	_
1-25	154-160	Schina	_	_
1-26	161-169	Schlegel	_	_
1-27	170-184	Schleiermacher	_	_
1-28	185-187	13	_	_
1-29	188-189	-	_	_
1-30	190-197	5.10.34	_	_
1-31	198-204	2.4.34	_	_
1-32	205-213	30.12.34	_	_
1-33	214-222	23.12.34	_	_
1-34	223-230	22.9.32	_	_
1-35	231-239	23.12.34	_	_
1-36	240-248	16.60.33	_	_
1-37	249-253	Febr	_	_
1-38	254-255	.	_	_

#Text=34 18.11.34 18.6.33 22.9.32 17.12.35 2.4.34 16.6.33 23.12.34 10.1.29 19.5.34 Gerhard/Bunsen 30.12.34 5.10.34 31.3.35 10.2.35 3.2.35 4.5.33 19.5.34 27.1.35 2.4.35 8.1.35 17.235
2-1	256-258	34	_	_
2-2	259-267	18.11.34	_	_
2-3	268-275	18.6.33	_	_
2-4	276-283	22.9.32	_	_
2-5	284-292	17.12.35	_	_
2-6	293-299	2.4.34	_	_
2-7	300-307	16.6.33	_	_
2-8	308-316	23.12.34	_	_
2-9	317-324	10.1.29	_	_
2-10	325-332	19.5.34	_	_
2-11	333-347	Gerhard/Bunsen	_	_
2-12	348-356	30.12.34	_	_
2-13	357-364	5.10.34	_	_
2-14	365-372	31.3.35	_	_
2-15	373-380	10.2.35	_	_
2-16	381-387	3.2.35	_	_
2-17	388-394	4.5.33	_	_
2-18	395-402	19.5.34	_	_
2-19	403-410	27.1.35	_	_
2-20	411-417	2.4.35	_	_
2-21	418-424	8.1.35	_	_
2-22	425-431	17.235	_	_
