#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Gerhard an Braun Berlin , 14. Mai 1846 für den Absatz der Nuova Serie , den Registerdruck , das Manifest zur deutschen Schulausgabe ecc .
1-1	0-7	Gerhard	*	PERauthor
1-2	8-10	an	_	_
1-3	11-16	Braun	*	PERaddressee
1-4	17-23	Berlin	*	PLACEfrom
1-5	24-25	,	_	_
1-6	26-29	14.	*[1]	DATEletter[1]
1-7	30-33	Mai	*[1]	DATEletter[1]
1-8	34-38	1846	*[1]	DATEletter[1]
1-9	39-42	für	_	_
1-10	43-46	den	_	_
1-11	47-53	Absatz	_	_
1-12	54-57	der	_	_
1-13	58-63	Nuova	_	_
1-14	64-69	Serie	_	_
1-15	70-71	,	_	_
1-16	72-75	den	_	_
1-17	76-89	Registerdruck	_	_
1-18	90-91	,	_	_
1-19	92-95	das	_	_
1-20	96-104	Manifest	_	_
1-21	105-108	zur	_	_
1-22	109-118	deutschen	_	_
1-23	119-131	Schulausgabe	_	_
1-24	132-135	ecc	_	_
1-25	136-137	.	_	_

#Text=gesetzt haben , hoffe ich weiter zu vernehmen .
2-1	138-145	gesetzt	_	_
2-2	146-151	haben	_	_
2-3	152-153	,	_	_
2-4	154-159	hoffe	_	_
2-5	160-163	ich	_	_
2-6	164-170	weiter	_	_
2-7	171-173	zu	_	_
2-8	174-183	vernehmen	_	_
2-9	184-185	.	_	_

#Text=Ist die Ablösung von Frank an Duprat Ihrerseits angeordnet ?
3-1	186-189	Ist	_	_
3-2	190-193	die	_	_
3-3	194-202	Ablösung	_	_
3-4	203-206	von	_	_
3-5	207-212	Frank	*	PERmentioned
3-6	213-215	an	_	_
3-7	216-222	Duprat	*	PERmentioned
3-8	223-233	Ihrerseits	_	_
3-9	234-244	angeordnet	_	_
3-10	245-246	?	_	_

#Text=Geben Sie ja den Franzosen möglichst wenig Anlaß zur Klage !
4-1	247-252	Geben	_	_
4-2	253-256	Sie	_	_
4-3	257-259	ja	_	_
4-4	260-263	den	_	_
4-5	264-273	Franzosen	_	_
4-6	274-283	möglichst	_	_
4-7	284-289	wenig	_	_
4-8	290-295	Anlaß	_	_
4-9	296-299	zur	_	_
4-10	300-305	Klage	_	_
4-11	306-307	!	_	_

#Text=Es fehlt wenig um auch Luynes unlustig zu machen und seine Hand von uns abziehen zu lassen .
5-1	308-310	Es	_	_
