#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=339 Helbig an Henzen Zürich , 14 .
1-1	0-3	339	_	_	
1-2	4-10	Helbig	*	PERauthor	
1-3	11-13	an	_	_	
1-4	14-20	Henzen	*	PERaddressee	
1-5	21-27	Zürich	*	PLACEfrom	
1-6	28-29	,	_	_	
1-7	30-32	14	*[1]	DATEletter[1]	
1-8	33-34	.	*[1]	DATEletter[1]	

#Text=Oktober 1870 Lieber wäre es mir allerdings , wenn diese Manipulationen bis zu meiner Rückkehr aufgeschoben würden .
2-1	35-42	Oktober	*[1]	DATEletter[1]	
2-2	43-47	1870	*[1]	DATEletter[1]	
2-3	48-54	Lieber	_	_	
2-4	55-59	wäre	_	_	
2-5	60-62	es	_	_	
2-6	63-66	mir	_	_	
2-7	67-77	allerdings	_	_	
2-8	78-79	,	_	_	
2-9	80-84	wenn	_	_	
2-10	85-90	diese	_	_	
2-11	91-105	Manipulationen	_	_	
2-12	106-109	bis	_	_	
2-13	110-112	zu	_	_	
2-14	113-119	meiner	_	_	
2-15	120-128	Rückkehr	_	_	
2-16	129-141	aufgeschoben	_	_	
2-17	142-148	würden	_	_	
2-18	149-150	.	_	_	

#Text=Grüßen Sie vielmals Brunns und Fräulein Kopf Ihr W. Helbig
3-1	151-157	Grüßen	_	_	
3-2	158-161	Sie	_	_	
3-3	162-170	vielmals	_	_	
3-4	171-177	Brunns	*	PERmentioned	
3-5	178-181	und	_	_	
3-6	182-190	Fräulein	_	_	
3-7	191-195	Kopf	*	PERmentioned	
3-8	196-199	Ihr	_	_	
3-9	200-202	W.	*[2]	PERauthor[2]	
3-10	203-209	Helbig	*[2]	PERauthor[2]	
