#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Bunsen an Gerhard Villa Piccolomini , 9. Juni 1833 Ich billige ganz Panofkas Plan , daß Ende des Jahrs das erste Heft 1834 erscheinen muß , und dann man warte bis Fonds da sind .
1-1	0-6	Bunsen	*	PERauthor	
1-2	7-9	an	_	_	
1-3	10-17	Gerhard	*	PERaddressee	
1-4	18-23	Villa	*[1]	PLACEfrom[1]	
1-5	24-35	Piccolomini	*[1]	PLACEfrom[1]	
1-6	36-37	,	_	_	
1-7	38-40	9.	*[2]	DATEletter[2]	
1-8	41-45	Juni	*[2]	DATEletter[2]	
1-9	46-50	1833	*[2]	DATEletter[2]	
1-10	51-54	Ich	_	_	
1-11	55-62	billige	_	_	
1-12	63-67	ganz	_	_	
1-13	68-76	Panofkas	*	PERmentioned	
1-14	77-81	Plan	_	_	
1-15	82-83	,	_	_	
1-16	84-87	daß	_	_	
1-17	88-92	Ende	_	_	
1-18	93-96	des	_	_	
1-19	97-102	Jahrs	_	_	
1-20	103-106	das	_	_	
1-21	107-112	erste	_	_	
1-22	113-117	Heft	_	_	
1-23	118-122	1834	*	DATEmentioned	
1-24	123-133	erscheinen	_	_	
1-25	134-137	muß	_	_	
1-26	138-139	,	_	_	
1-27	140-143	und	_	_	
1-28	144-148	dann	_	_	
1-29	149-152	man	_	_	
1-30	153-158	warte	_	_	
1-31	159-162	bis	_	_	
1-32	163-168	Fonds	_	_	
1-33	169-171	da	_	_	
1-34	172-176	sind	_	_	
1-35	177-178	.	_	_	

#Text=Mein Discours hat sich zu einer Abhandlung von etwa 4 Bogen erweitert : ich hoffe nicht zu seinem Nachtheile .
2-1	179-183	Mein	_	_	
2-2	184-192	Discours	_	_	
2-3	193-196	hat	_	_	
2-4	197-201	sich	_	_	
2-5	202-204	zu	_	_	
2-6	205-210	einer	_	_	
2-7	211-221	Abhandlung	_	_	
2-8	222-225	von	_	_	
2-9	226-230	etwa	_	_	
2-10	231-232	4	_	_	
2-11	233-238	Bogen	_	_	
2-12	239-248	erweitert	_	_	
2-13	249-250	:	_	_	
2-14	251-254	ich	_	_	
2-15	255-260	hoffe	_	_	
2-16	261-266	nicht	_	_	
2-17	267-269	zu	_	_	
2-18	270-276	seinem	_	_	
2-19	277-287	Nachtheile	_	_	
2-20	288-289	.	_	_	

#Text=Wir sind alle wohl und treu , Pinder und Abeken grüßen herzlich : Sydow der Tepp kam diesen Abend erst .
3-1	290-293	Wir	_	_	
3-2	294-298	sind	_	_	
3-3	299-303	alle	_	_	
3-4	304-308	wohl	_	_	
3-5	309-312	und	_	_	
3-6	313-317	treu	_	_	
3-7	318-319	,	_	_	
3-8	320-326	Pinder	*	PERmentioned	
3-9	327-330	und	_	_	
3-10	331-337	Abeken	*	PERmentioned	
3-11	338-344	grüßen	_	_	
3-12	345-353	herzlich	_	_	
3-13	354-355	:	_	_	
3-14	356-361	Sydow	*	PERmentioned	
3-15	362-365	der	_	_	
3-16	366-370	Tepp	_	_	
3-17	371-374	kam	_	_	
3-18	375-381	diesen	_	_	
3-19	382-387	Abend	_	_	
3-20	388-392	erst	_	_	
3-21	393-394	.	_	_	

#Text=Mögen Ihre Augen Ihnen bald wiedergegeben werden und Sie uns | Herzlich der Ihrige Bunsen In Cambridge Würden Sie-Zhishwell , den zweiten Übersetzer Niebuhrs finden .
4-1	395-400	Mögen	_	_	
4-2	401-405	Ihre	_	_	
4-3	406-411	Augen	_	_	
4-4	412-417	Ihnen	_	_	
4-5	418-422	bald	_	_	
4-6	423-436	wiedergegeben	_	_	
4-7	437-443	werden	_	_	
4-8	444-447	und	_	_	
4-9	448-451	Sie	_	_	
4-10	452-455	uns	_	_	
4-11	456-457	|	_	_	
4-12	458-466	Herzlich	_	_	
4-13	467-470	der	_	_	
4-14	471-477	Ihrige	_	_	
4-15	478-484	Bunsen	*	PERauthor	
4-16	485-487	In	_	_	
4-17	488-497	Cambridge	*	PLACEmentioned	
4-18	498-504	Würden	_	_	
4-19	505-518	Sie-Zhishwell	*	PERmentioned	
4-20	519-520	,	_	_	
4-21	521-524	den	_	_	
4-22	525-532	zweiten	_	_	
4-23	533-543	Übersetzer	_	_	
4-24	544-552	Niebuhrs	*	PERmentioned	
4-25	553-559	finden	_	_	
4-26	560-561	.	_	_	
