#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=a 107 Gerhard an Henzen Berlin , 21. Februar 1844 A. d.D .
1-1	0-1	a	_	_	
1-2	2-5	107	_	_	
1-3	6-13	Gerhard	*	PERauthor	
1-4	14-16	an	_	_	
1-5	17-23	Henzen	*	PERaddressee	
1-6	24-30	Berlin	*	PLACEfrom	
1-7	31-32	,	_	_	
1-8	33-36	21.	*[1]	DATEletter[1]	
1-9	37-44	Februar	*[1]	DATEletter[1]	
1-10	45-49	1844	*[1]	DATEletter[1]	
1-11	50-52	A.	_	_	
1-12	53-56	d.D	_	_	
1-13	57-58	.	_	_	

#Text=g . 8 & /III 44 r. A9/III 44 Dr. Henzen Berlin 21 Febr 4 Für Ihren letzten Brief , lieber Freund , besten Dank und für allen freundlichen Inhalt desselben .
2-1	59-60	g	_	_	
2-2	61-62	.	_	_	
2-3	63-64	8	*[2]	DATErecieved[2]	
2-4	65-66	&	*[2]	DATErecieved[2]	
2-5	67-71	/III	*[2]	DATErecieved[2]	
2-6	72-74	44	*[2]	DATErecieved[2]	
2-7	75-77	r.	_	_	
2-8	78-84	A9/III	*[3]	DATEanswered[3]	
2-9	85-87	44	*[3]	DATEanswered[3]	
2-10	88-91	Dr.	_	_	
2-11	92-98	Henzen	*	PERaddressee	
2-12	99-105	Berlin	*	PLACEfrom	
2-13	106-108	21	*[4]	DATEletter[4]	
2-14	109-113	Febr	*[4]	DATEletter[4]	
2-15	114-115	4	*[4]	DATEletter[4]	
2-16	116-119	Für	_	_	
2-17	120-125	Ihren	_	_	
2-18	126-133	letzten	_	_	
2-19	134-139	Brief	_	_	
2-20	140-141	,	_	_	
2-21	142-148	lieber	_	_	
2-22	149-155	Freund	_	_	
2-23	156-157	,	_	_	
2-24	158-164	besten	_	_	
2-25	165-169	Dank	_	_	
2-26	170-173	und	_	_	
2-27	174-177	für	_	_	
2-28	178-183	allen	_	_	
2-29	184-196	freundlichen	_	_	
