#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=239 Gerhard an Henzen Berlin ABIRIABU9 A. di Dir , 8. r . 3/X 49 N D. Henzen Berlin .
1-1	0-3	239	_	_	
1-2	4-11	Gerhard	*	PERauthor	
1-3	12-14	an	_	_	
1-4	15-21	Henzen	*	PERaddressee	
1-5	22-28	Berlin	*	PLACEfrom	
1-6	29-38	ABIRIABU9	*	DATEletter	
1-7	39-41	A.	_	_	
1-8	42-44	di	_	_	
1-9	45-48	Dir	_	_	
1-10	49-50	,	_	_	
1-11	51-53	8.	_	_	
1-12	54-55	r	_	_	
1-13	56-57	.	_	_	
1-14	58-61	3/X	*[1]	DATEanswered[1]	
1-15	62-64	49	*[1]	DATEanswered[1]	
1-16	65-66	N	_	_	
1-17	67-69	D.	_	_	
1-18	70-76	Henzen	*	PERaddressee	
1-19	77-83	Berlin	*	PLACEfrom	
1-20	84-85	.	_	_	

#Text=19 Okt 49 Nursm Huren Verehrter Freund .
2-1	86-88	19	*[2]	DATEletter[2]	
2-2	89-92	Okt	*[2]	DATEletter[2]	
2-3	93-95	49	*[2]	DATEletter[2]	
2-4	96-101	Nursm	_	_	
2-5	102-107	Huren	_	_	
2-6	108-117	Verehrter	_	_	
2-7	118-124	Freund	_	_	
2-8	125-126	.	_	_	

#Text=Ihren Brief vom 9 beantworte sogleich .
3-1	127-132	Ihren	_	_	
3-2	133-138	Brief	_	_	
3-3	139-142	vom	_	_	
3-4	143-144	9	_	_	
3-5	145-155	beantworte	_	_	
3-6	156-164	sogleich	_	_	
3-7	165-166	.	_	_	

#Text=Frangois fängt an seccant zu werden , denn nachdem er die Ehrenmedaille hat will er auch ein `` Ohr und ein Band da®Sn haben und damit er an das unfehlbare Öhr ein Band hängen könne eine Lettera uffiziale ; ich werde an Reumont darum schreiben , wünschte aber die Quälerei seiner allzeit kostspieligen Briefe ließe sich bald in eine Ausgabsbeihülfe umwenden .
4-1	167-175	Frangois	*	PERmentioned	
4-2	176-181	fängt	_	_	
4-3	182-184	an	_	_	
4-4	185-192	seccant	_	_	
4-5	193-195	zu	_	_	
4-6	196-202	werden	_	_	
4-7	203-204	,	_	_	
4-8	205-209	denn	_	_	
4-9	210-217	nachdem	_	_	
4-10	218-220	er	_	_	
4-11	221-224	die	_	_	
4-12	225-238	Ehrenmedaille	_	_	
4-13	239-242	hat	_	_	
4-14	243-247	will	_	_	
4-15	248-250	er	_	_	
4-16	251-255	auch	_	_	
4-17	256-259	ein	_	_	
4-18	260-262	``	_	_	
4-19	263-266	Ohr	_	_	
4-20	267-270	und	_	_	
4-21	271-274	ein	_	_	
4-22	275-279	Band	_	_	
4-23	280-285	da®Sn	_	_	
4-24	286-291	haben	_	_	
4-25	292-295	und	_	_	
4-26	296-301	damit	_	_	
4-27	302-304	er	_	_	
4-28	305-307	an	_	_	
4-29	308-311	das	_	_	
4-30	312-322	unfehlbare	_	_	
4-31	323-326	Öhr	_	_	
4-32	327-330	ein	_	_	
4-33	331-335	Band	_	_	
4-34	336-342	hängen	_	_	
4-35	343-348	könne	_	_	
4-36	349-353	eine	_	_	
4-37	354-361	Lettera	_	_	
4-38	362-371	uffiziale	_	_	
4-39	372-373	;	_	_	
4-40	374-377	ich	_	_	
4-41	378-383	werde	_	_	
4-42	384-386	an	_	_	
4-43	387-394	Reumont	*	PERmentioned	
4-44	395-400	darum	_	_	
4-45	401-410	schreiben	_	_	
4-46	411-412	,	_	_	
4-47	413-421	wünschte	_	_	
4-48	422-426	aber	_	_	
4-49	427-430	die	_	_	
4-50	431-439	Quälerei	_	_	
4-51	440-446	seiner	_	_	
4-52	447-454	allzeit	_	_	
4-53	455-468	kostspieligen	_	_	
4-54	469-475	Briefe	_	_	
4-55	476-481	ließe	_	_	
4-56	482-486	sich	_	_	
4-57	487-491	bald	_	_	
4-58	492-494	in	_	_	
4-59	495-499	eine	_	_	
4-60	500-515	Ausgabsbeihülfe	_	_	
4-61	516-524	umwenden	_	_	
4-62	525-526	.	_	_	

#Text=Vielleicht richtet Braun durch Bunsen und Olfers etwas aus , ich vermag es nicht zumal so unmittelbar nach eben erfolgten Gnadenbeweis .
5-1	527-537	Vielleicht	_	_	
5-2	538-545	richtet	_	_	
5-3	546-551	Braun	*	PERmentioned	
5-4	552-557	durch	_	_	
5-5	558-564	Bunsen	*	PERmentioned	
5-6	565-568	und	_	_	
5-7	569-575	Olfers	*	PERmentioned	
5-8	576-581	etwas	_	_	
5-9	582-585	aus	_	_	
5-10	586-587	,	_	_	
5-11	588-591	ich	_	_	
5-12	592-598	vermag	_	_	
5-13	599-601	es	_	_	
5-14	602-607	nicht	_	_	
5-15	608-613	zumal	_	_	
5-16	614-616	so	_	_	
5-17	617-628	unmittelbar	_	_	
5-18	629-633	nach	_	_	
5-19	634-638	eben	_	_	
5-20	639-648	erfolgten	_	_	
5-21	649-661	Gnadenbeweis	_	_	
5-22	662-663	.	_	_	

#Text=Die Sendung an Sie für Wienbrack-Spithöver ist abgegangen .
6-1	664-667	Die	_	_	
6-2	668-675	Sendung	_	_	
6-3	676-678	an	_	_	
6-4	679-682	Sie	_	_	
6-5	683-686	für	_	_	
6-6	687-706	Wienbrack-Spithöver	*	PERmentioned	
6-7	707-710	ist	_	_	
6-8	711-721	abgegangen	_	_	
6-9	722-723	.	_	_	

#Text=- Ind . zwei Inschriftblatt aus Neigebaurs Nachlaß ; die Diplome bringt er freilich mit .
7-1	724-725	-	_	_	
7-2	726-729	Ind	_	_	
7-3	730-731	.	_	_	
7-4	732-736	zwei	_	_	
7-5	737-751	Inschriftblatt	_	_	
7-6	752-755	aus	_	_	
7-7	756-766	Neigebaurs	*	PERmentioned	
7-8	767-774	Nachlaß	_	_	
7-9	775-776	;	_	_	
7-10	777-780	die	_	_	
7-11	781-788	Diplome	_	_	
7-12	789-795	bringt	_	_	
7-13	796-798	er	_	_	
7-14	799-807	freilich	_	_	
7-15	808-811	mit	_	_	
7-16	812-813	.	_	_	

#Text=Wie stehn wir mit Dalmatien ?
8-1	814-817	Wie	_	_	
8-2	818-823	stehn	_	_	
8-3	824-827	wir	_	_	
8-4	828-831	mit	_	_	
8-5	832-841	Dalmatien	*	PLACEmentioned	
8-6	842-843	?	_	_	

#Text=wor N. sich adickm zu lassen sehr bereit war aber doch wol nur mäfis nutzen könnte .
9-1	844-847	wor	_	_	
9-2	848-850	N.	_	_	
9-3	851-855	sich	_	_	
9-4	856-862	adickm	_	_	
9-5	863-865	zu	_	_	
9-6	866-872	lassen	_	_	
9-7	873-877	sehr	_	_	
9-8	878-884	bereit	_	_	
9-9	885-888	war	_	_	
9-10	889-893	aber	_	_	
9-11	894-898	doch	_	_	
9-12	899-902	wol	_	_	
9-13	903-906	nur	_	_	
9-14	907-912	mäfis	_	_	
9-15	913-919	nutzen	_	_	
9-16	920-926	könnte	_	_	
9-17	927-928	.	_	_	

#Text=Alles steht jetzt unter der Wiener Akademie die in Arnet % 's Oberaufsicht , der kultivirt ee aß .
10-1	929-934	Alles	_	_	
10-2	935-940	steht	_	_	
10-3	941-946	jetzt	_	_	
10-4	947-952	unter	_	_	
10-5	953-956	der	_	_	
10-6	957-963	Wiener	*[3]	ORGmentioned[3]	
10-7	964-972	Akademie	*[3]	ORGmentioned[3]	
10-8	973-976	die	_	_	
10-9	977-979	in	_	_	
10-10	980-985	Arnet	*[4]	PERmentioned[4]	
10-11	986-987	%	*[4]	PERmentioned[4]	
10-12	988-990	's	*[4]	PERmentioned[4]	
10-13	991-1003	Oberaufsicht	_	_	
10-14	1004-1005	,	_	_	
10-15	1006-1009	der	_	_	
10-16	1010-1019	kultivirt	_	_	
10-17	1020-1022	ee	_	_	
10-18	1023-1025	aß	_	_	
10-19	1026-1027	.	_	_	

#Text=Schickt er Euch die Wiener Sitzungsberichte ?
11-1	1028-1035	Schickt	_	_	
11-2	1036-1038	er	_	_	
11-3	1039-1043	Euch	_	_	
11-4	1044-1047	die	_	_	
11-5	1048-1054	Wiener	*	PLACEmentioned	
11-6	1055-1071	Sitzungsberichte	_	_	
11-7	1072-1073	?	_	_	

#Text=Der Tausch gegen Institutswerke wäre wegen Inhalts und Anstands jedenfalls der Mühe werth ; ein Exemplar geht deshalb dem Absatz schwerlich verloren .
12-1	1074-1077	Der	_	_	
12-2	1078-1084	Tausch	_	_	
12-3	1085-1090	gegen	_	_	
12-4	1091-1105	Institutswerke	_	_	
12-5	1106-1110	wäre	_	_	
12-6	1111-1116	wegen	_	_	
12-7	1117-1124	Inhalts	_	_	
12-8	1125-1128	und	_	_	
12-9	1129-1137	Anstands	*	PERmentioned	
12-10	1138-1148	jedenfalls	_	_	
12-11	1149-1152	der	_	_	
12-12	1153-1157	Mühe	_	_	
12-13	1158-1163	werth	_	_	
12-14	1164-1165	;	_	_	
12-15	1166-1169	ein	_	_	
12-16	1170-1178	Exemplar	_	_	
12-17	1179-1183	geht	_	_	
12-18	1184-1191	deshalb	_	_	
12-19	1192-1195	dem	_	_	
12-20	1196-1202	Absatz	_	_	
12-21	1203-1213	schwerlich	_	_	
12-22	1214-1222	verloren	_	_	
12-23	1223-1224	.	_	_	

#Text=Mit Panofkas Artikel verfahren Sie nach bester eigner Einsicht ; ist der Uebelstand groß so wird Panofka gegen Un-
13-1	1225-1228	Mit	_	_	
13-2	1229-1237	Panofkas	*	PERmentioned	
13-3	1238-1245	Artikel	_	_	
13-4	1246-1255	verfahren	_	_	
13-5	1256-1259	Sie	_	_	
13-6	1260-1264	nach	_	_	
13-7	1265-1271	bester	_	_	
13-8	1272-1278	eigner	_	_	
13-9	1279-1287	Einsicht	_	_	
13-10	1288-1289	;	_	_	
13-11	1290-1293	ist	_	_	
13-12	1294-1297	der	_	_	
13-13	1298-1308	Uebelstand	_	_	
13-14	1309-1313	groß	_	_	
13-15	1314-1316	so	_	_	
13-16	1317-1321	wird	_	_	
13-17	1322-1329	Panofka	*	PERmentioned	
13-18	1330-1335	gegen	_	_	
13-19	1336-1339	Un-	_	_	
